title,field,sales_point
"AI 이후의 세계 : 챗GPT는 시작일 뿐이다, 세계질서 대전환에 대비하라",사회과학,"11,676"
ESG 생존 경영,사회과학,657
ESG 한번에 이해하기,사회과학,81
The HR : 성장하는 기업에는 성공하는 HR이 있다,사회과학,"1,690"
가난이 사는 집,사회과학,471
가난한 도시생활자의 서울 산책 : 쫓겨난 자들의 잊힌 기억을 찾아서,사회과학,"1,787"
가르칠 수 없는 것을 가르치기 : 제천간디학교 교장 이병곤의 교육에세이,사회과학,"1,388"
가족 공부,사회과학,"11,332"
각자도사 사회,사회과학,"3,308"
강철잡 : 밥벌이를 고민하는 당신에게,사회과학,131
건축가의 습관 : 예술과 실용 사이,사회과학,233
결정하는 마음,사회과학,"37,624"
경세치용의 공공리더십 : 세상을 바꾸는 리더의 힘,사회과학,33
경제 전쟁의 흑역사 : 시장 질서를 박살 내고 세계경제에 자살골을 날린 무모한 대결의 연대기,사회과학,"1,545"
경제지식이 돈이다,사회과학,461
"경제학자의 시대 : 그들은 성공한 혁명가인가, 거짓 예언자인가",사회과학,83
공덕귀 : 생애와 사상,사회과학,26
공부하는 일 : 인문잡지 한편이 만난 저자와 편집자 6인이 연구하고 글 쓰는 방법,사회과학,941
공정함 쫌 아는 10대,사회과학,794
교사 감정 사전 : 상처받는 교사를 위한 마음 챙김 멘토링,사회과학,809
교사라는 세계 : 2030 교사가 들려주는 슬기로운 교직생활,사회과학,719
"교육철학잡기(5) [2022-2] : 비트겐슈타인의 <논리철학논고>, 헤세의 <나무>, 그리고 <주역>",사회과학,38
그래도 나아간다는 믿음 : UN 인권위원의 새로운 인권 이야기,사회과학,284
그래서 마케팅에도 심리학이 필요합니다,사회과학,"1,030"
"기본소득, 공상 혹은 환상 : 기본소득을 넘어 국가를 다시 생각해보기",사회과학,538
기울어진 스크린 : 장애 필터를 통해 대중문화 읽기,사회과학,378
기후 전환 사회,사회과학,81
기후를 위한 경제학 : 지구 한계 안에서 좋은 삶을 모색하는 생태경제학 입문,사회과학,"3,582"
길을 만들다 ESG 경영,사회과학,36
꿈을 찾는 10대를 위한 진로수업,사회과학,"1,121"
나 좋자고 하는 일인데요 : 회사가 아닌 나에게 충성하는 일잘러 7인의 이야기,사회과학,536
나는 세무사 없이 세금 신고한다,사회과학,"1,897"
나는 왜 소년범을 변호했을까 : 우리 사회에서 낙인찍힌 그들을 위한 변론,사회과학,568
나는 인스타마켓으로 월급보다 많이 번다 : SNS 왕초보도 돈 버는 인스타그램 공동구매,사회과학,675
나무 심는 CEO : 미래 경영에 자연의 가치를 심다,사회과학,99
나의 빈틈을 채워주는 교양 콘서트,사회과학,54
나의 첫 경제사 수업,사회과학,622
납작하고 투명한 사람들 : 변호사가 바라본 미디어 속 소수자 이야기,사회과학,331
낯선 사람,사회과학,"2,038"
